Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
AGO2,argonaute RISC catalytic component 2,27161,"CASC7, EIF2C2, LINC00980, PPD, Q10",8,8q24.3,Q9UKV8,606229,"This gene encodes a member of the Argonaute family of proteins which play a role in RNA interference. The encoded protein is highly basic, and contains a PAZ domain and a PIWI domain. It may interact with dicer1 and play a role in short-interfering-RNA-mediated gene silencing.",Syndromic,"Lessel et al., 2020 identified 13 heterozygous variants in the AGO2 gene that impaired shRNA-meidated silencing in 21 patients affected by disturbances in neurological development; all 21 affected individuals presented with intellectual disability, motor delay, and delayed speech and language development, while 9/16 (56%) of affected individuals also presented with autistic features.",2,0,,0,,33199684,,,35982159
AGO3,argonaute RISC catalytic component 3,192669,EIF2C3,1,1p34.3,Q9H9G7,607355,Required for RNA-mediated gene silencing (RNAi). Binds to short RNAs such as microRNAs (miRNAs) and represses the translation of mRNAs which are complementary to them.,Rare single gene variant,"De novo missense variants in the AGO3 gene have been identified in two probands with ASD (De Rubeis et al., 2014; Yuen et al., 2017) and one proband with an unspecified developmental disorder (Deciphering Developmental Disorders Study 2017).  An integrated meta-analysis of de novo mutation data from a combined dataset of 10,927 individuals with neurodevelopmental disorders identified AGO3 as a gene with an excess of missense variants with CADD scores > 30 (false discovery rata < 5%, count >1) (Coe et al., 2018).",8,0,,0,,25363760,,30559488,"28135719,28263302,33004838,35982159,37506195,38256266"
AGO4,argonaute RISC catalytic component 4,192670,EIF2C4,1,1p34.3,Q9HCK5,607356,This gene encodes a member of the Argonaute family of proteins which contain PAZ and PIWI domains and play an integral role in RNA interference and short-interfering-RNA-mediated gene silencing.,Rare single gene variant,"De novo missense variants in the AGO4 gene have been identified in two ASD probands (De Rubeis et al., 2014).  An integrated meta-analysis of de novo mutation data from a combined dataset of 10,927 individuals with neurodevelopmental disorders identified AGO4 as a gene with an excess of missense variants (false discovery rata < 5%, count >1); AGO4 was similarly identified as a gene with an excess of de novo missense variants (false discovery rata < 5%, count >1) following analysis of 5,624 cases with a primary diagnosis of ASD (Coe et al., 2018).",5,0,,0,,25363760,,30559488,"31398340,35982159,37788244"
AGTR2,"angiotensin II receptor, type 2",186,"AT2, ATGR2, MRX88",X,Xq23,P50052,300034,"The protein encoded by this gene is an integral membrane protein that belongs to the G-protein coupled receptor 1 family, and functions as a receptor for angiotensin II.",Rare Single Gene variant,"This gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. Rare mutations in the AGTR2 gene have also been identified with mental retardation. These mutations included translocation, frameshift and missense variations.",5,0,,0,,12089445,,16769992,"22269148,31771860,32193494"
AHDC1,AT-hook DNA binding motif containing 1,27245,MRD25,1,1p36.11-p35.3,Q5TGY3,615790,"This gene encodes a protein containing two AT-hooks, which likely function in DNA binding. Mutations in this gene were found in individuals with Xia-Gibbs syndrome (OMIM 615829), a syndrome characterized by intellectual disability, expressive language delay, hypotonia, and obstructive sleep apnea (Xia et al., 2014).",Syndromic,"Novel de novo variants in the AHDC1 gene (one frameshift, one missense variant predicted to be benign) were identified in ASD probands from the Simons Simplex Collection in Iossifov et al., 2014. Exome sequencing of 2157 cases with intellectual disability or developmental delay in Yang et al., 2016 identified seven proband-patient trios with de novo AHDC1 variants; probands typically presented with developmental delay, intellectual disability, absent or limited speech, hypotonia, dysmorphic features, brain abnormalities, failure to thrive/feeding difficulties, and ataxia/gait abnormalities, and two of the seven probands were additionally diagnosed with autism based on DSM-IV or DSM-V criteria.",29,0,,0,,25363768,,"27148574,29696776","24791903,25574029,27479843,27841880,28135719,28554332,29158550,30152016,30622101,33004838,33644933,34073322,34580403,34950987,35205252,35322241,35596688,35597848,35716097,35887114,35982159,36881370,36980980,37541188,38177409,38438125"
AHI1,Abelson helper integration site 1,54806,ORF1; AHI-1; JBTS3; FLJ14023; FLJ20069; dJ71N10.1; DKFZp686J1653,6,6q23.3,Q8N157,608894,This gene is apparently required for both cerebellar and cortical development in humans. Mutations in this gene cause specific forms of Joubert syndrome-related disorders. It encodes a modular protein that contains one SH3 motif and seven WD40 repeats,Rare Single Gene variant,"This gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. In particular, several studies have found genetic association and rare variants in the AHI1 gene that are associated with Joubert syndrome. In addition, genetic association between AHI1 and schizophrenia has been seen in a large European sample.",22,0,,0,,18782849,"15322546,15467982","16244321,18636121,18785627,18950740,20071346,20081859,20592197,21959375,22123816,23532844","23352163,24690944,25363768,25558065,28097321,31398340,35982159,37506195,37943464"
AHNAK,AHNAKnucleoprotein,79026,"AHNAKRS, PM227",11,11q12.3,Q09666,103390,"The protein encoded by this gene is a large (700 kDa) structural scaffold protein consisting of a central domain with 128 aa repeats. The encoded protein may play a role in such diverse processes as blood-brain barrier formation, cell structure and migration, cardiac calcium channel regulation, and tumor metastasis. A much shorter variant encoding a 17 kDa isoform exists for this gene, and the shorter isoform initiates a feedback loop that regulates alternative splicing of this gene.",Rare single gene variant,"De novo missense variants in AHNAK have been identified in ASD probands from the Autism Sequencing Consortium (De Rubeis et al., 2014), the Simons Simplex Collection (Iossifov et al., 2014; Turner et al., 2017), and the SPARK cohort (Wang et al., 2020).  Single-molecular molecular inversion probe (smMIP) sequencing of 3,363 probands from cohorts with a primary diagnosis of ASD in Wang et al., 2020 identified 15 ASD-associated likely gene-disruptive (LGD) variants and 9 ASD-associated missense variants with CADD scores  30 in the AHNAK gene.",6,0,,0,,33004838,,,"25363760,25363768,28965761,33431980,35982159"
AKAP9,A kinase (PRKA) anchor protein 9,10142,"AKAP-9, AKAP350, AKAP450, CG-NAP, HYPERION, LQT11, MU-RMS-40.16A, PPP1R45, PRKA9, YOTIAO",7,7q21.2,Q99996,604001,"Binds to type II regulatory subunits of protein kinase A. Scaffolding protein that assembles several protein kinases and phosphatases on the centrosome and Golgi apparatus. May be required to maintain the integrity of the Golgi apparatus. Isoform4is associated with the N-methyl-D-aspartate receptor and is specifically found in the neuromuscular junction (NMJ) as well as in neuronal synapses, suggesting a role in the organization of postsynaptic specializations.",Rare single gene variant,"This gene was identified by TADA (transmission and de novo association) analysis of a combined dataset from the Simons Simplex Collection (SSC) and the Autism Sequencing Consortium (ASC) as a gene strongly enriched for variants likely to affect ASD risk with a false discovery rate (FDR) of <0.1 (Sanders et al., 2015); among the variants identified in this gene was one de novo loss-of-function (LoF) variant.",8,0,,0,,26402605,,,"25363760,25363768,27479843,31398340,35982159,37393044,37506195"
ALDH1A3,aldehyde dehydrogenase 1 family member A3,220,"ALDH1A6, ALDH6, RALDH3",15,15q26.3,P47895,600463,"This gene encodes an aldehyde dehydrogenase enzyme that uses retinal as a substrate. Mutations in this gene have been associated with microphthalmia, isolated 8.",Syndromic,"Homozygosity for one splice-site and two missense mutations in the ALDH1A3 gene was identified in three consanguineous families segregating with anophthalmia and microphthalmia (A/M); in one of these families, affected individuals with a homozygous missense variant in ALDH1A3 were also diagnosed with autism (Fares-Taie et al., 2013). However, in a report in which additional individuals with anophthalmia and microphthalmia (A/M) also presented with autistic features, the authors suggested that such features may be the result of social deprivation and inadequate parenting during early infancy, rather than ALDH1A3 mutations per se (Nur Semerci et al., 2014).",7,0,,1,24568872,23312594,,24024553,"23646827,25533962,35982159,36997679"
ALDH1L1,aldehyde dehydrogenase 1 family member L1,10840,"10-FTHFDH, 10-fTHF, FDH, FTHFD",3,3q21.3,O75891,600249,"The protein encoded by this gene catalyzes the conversion of 10-formyltetrahydrofolate, nicotinamide adenine dinucleotide phosphate (NADP+), and water to tetrahydrofolate, NADPH, and carbon dioxide. The encoded protein belongs to the aldehyde dehydrogenase family. Loss of function or expression of this gene is associated with decreased apoptosis, increased cell motility, and cancer progression.",Rare single gene variant,"Rare de novo variants in the ALDH1L1 gene have been identified in ASD probands, including a de novo missense variant (p.Asn900His) in a proband from the Simons Simplex Collection (Iossifov et al., 2014; Yuen et al. 2017; Turner et al., 2017; Satterstrom et al., 2020), while a paternally-inherited loss-of-function variant in this gene was identified in an ASD proband from a multiplex family from the iHART cohort (Ruzzo et al. 2019).  Functional assessment of the ASD-associated p.Asn900His missense variant in Drosophila using a rescue-based strategy in Macrogliese et al., 2022 demonstrated that humanized flies carrying the ALDH1L1-p.Asn900His mutation displayed a significant reduction in courtship and an increase in grooming behavior compared to the humanized reference fly or the TG4 mutant alone, potentially indicating that this variant acts as some sort of gain-of-function allele.",7,0,,0,,25363768,,35294868,"28263302,28965761,31398340,31981491,37393044"
ALDH5A1,"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase )",7915,"SSDH, SSADH",6,6p22.3,P51649,610045,The encoded protein is a mitochondrial NAD(+)-dependent succinic semialdehyde dehydrogenase.,Syndromic,"This gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism.",16,0,,0,,12743223,8689400,"15341910,1650448","25363760,25363768,27056292,28097321,30564305,32621952,33679889,35322241,35982159,37506195,38110041,9683595"
ALG6,"ALG6, alpha-1,3-glucosyltransferase",29929,CDG1C,1,1p31.3,Q9Y672,604566,"This gene encodes a member of the ALG6/ALG8 glucosyltransferase family that catalyzes the addition of the first glucose residue to the growing lipid-linked oligosaccharide precursor of N-linked glycosylation. Mutations in this gene are associated with congenital disorder of glycosylation, type Ic (CDG1C; OMIM 603147), a multisystem disorder resulting in a wide variety of clinical features, including developmental delay, hypotonia, epilepsy, ataxia, and failure to thrive.",Syndromic,"Evaluation of the clinical data from 41 patients with congenital disorder of glycosylation, type Ic, mediated by ALG6 mutations (ALG6-CDG) found that behavioral problems or mood disorders occurred in 14 patients, with most of these 14 patients showing autistic features. Furthermore, five patients with ALG6-CDG were diagnosed with autism (Morava et al., 2016).",2,0,,0,,27287710,,,35322241
